Дата,Время,Команда_1,Команда_2,счёт,стадион
21.05.2016,15:30,Урал,Кубань,2:0 (1:0),ЕкатеринбургСКБ-Банк Арена
21.05.2016,15:30,ФК Уфа,Спартак,3:1 (2:1),УфаСтадион Нефтяник
21.05.2016,14:30,Крылья Советов,Анжи,0:0,СамараСтадион Металлург
21.05.2016,13:30,Динамо,Зенит,0:3 (0:0),ХимкиАрена Химки
21.05.2016,13:30,Локомотив,Мордовия,3:0 (1:0),МоскваСтадион Локомотив
21.05.2016,13:30,Рубин,ЦСКА,0:1 (0:1),КазаньКазань-Арена
21.05.2016,13:30,Терек,ФК Ростов,0:2 (0:1),ГрозныйСтадион им. А.А. Кадырова
21.05.2016,13:30,ФК Краснодар,Амкар,1:0 (1:0),КраснодарСтадион Кубань
16.05.2016,19:30,Кубань,Динамо,1:0 (1:0),КраснодарСтадион Кубань
16.05.2016,19:30,Спартак,Терек,3:0 (1:0),МоскваОткрытие Арена
16.05.2016,19:30,ФК Ростов,Урал,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
16.05.2016,19:30,ЦСКА,ФК Краснодар,2:0 (1:0),ХимкиАрена Химки
16.05.2016,19:00,Амкар,ФК Уфа,1:0 (0:0),ПермьСтадион Звезда
15.05.2016,19:00,Зенит,Локомотив,1:1 (1:1),Санкт-ПетербургСтадион Петровский
15.05.2016,17:00,Анжи,Мордовия,3:0 (1:0),КаспийскАнжи-Арена
15.05.2016,15:30,Крылья Советов,Рубин,1:1 (0:0),СамараСтадион Металлург
12.05.2016,19:30,Динамо,ФК Ростов,1:3 (1:1),ХимкиАрена Химки
12.05.2016,19:00,Терек,Амкар,2:0 (2:0),ГрозныйСтадион им. А.А. Кадырова
12.05.2016,19:00,Урал,Спартак,0:1 (0:1),ЕкатеринбургСКБ-Банк Арена
11.05.2016,19:30,Локомотив,Кубань,0:1 (0:0),МоскваСтадион Локомотив
11.05.2016,19:30,Мордовия,Зенит,0:3 (0:1),СаранскСтадион Старт
11.05.2016,19:30,ФК Краснодар,Крылья Советов,3:0 (1:0),КраснодарСтадион Кубань
11.05.2016,19:00,Рубин,Анжи,1:2 (1:1),КазаньКазань-Арена
11.05.2016,19:00,ФК Уфа,ЦСКА,1:3 (1:1),УфаСтадион Нефтяник
08.05.2016,19:30,Спартак,Динамо,3:0 (1:0),МоскваОткрытие Арена
08.05.2016,16:30,Амкар,Урал,1:1 (1:1),ПермьСтадион Звезда
07.05.2016,19:30,Рубин,ФК Краснодар,1:1 (1:0),КазаньКазань-Арена
07.05.2016,17:00,Анжи,Зенит,0:1 (0:1),КаспийскАнжи-Арена
07.05.2016,17:00,Кубань,Мордовия,1:2 (1:1),КраснодарСтадион Кубань
07.05.2016,14:30,ЦСКА,Терек,1:0 (1:0),ХимкиАрена Химки
06.05.2016,19:30,ФК Ростов,Локомотив,2:1 (2:0),Ростов-на-ДонуСтадион Олимп-2
06.05.2016,19:00,Крылья Советов,ФК Уфа,1:0 (1:0),СамараСтадион Металлург
01.05.2016,19:30,ФК Краснодар,Анжи,3:0 (0:0),КраснодарСтадион Кубань
01.05.2016,17:00,Терек,Крылья Советов,0:1 (0:0),ГрозныйСтадион им. А.А. Кадырова
01.05.2016,14:30,Мордовия,ФК Ростов,2:1 (0:0),СаранскСтадион Старт
01.05.2016,14:00,ФК Уфа,Рубин,1:1 (1:1),УфаСтадион Нефтяник
30.04.2016,19:30,Локомотив,Спартак,0:2 (0:1),МоскваСтадион Локомотив
29.04.2016,19:00,Динамо,Амкар,0:0,ХимкиАрена Химки
28.04.2016,19:30,Зенит,Кубань,4:1 (2:1),Санкт-ПетербургСтадион Петровский
28.04.2016,19:00,Урал,ЦСКА,0:3 (0:1),ЕкатеринбургСКБ-Банк Арена
24.04.2016,19:30,Анжи,Кубань,1:0 (0:0),КаспийскАнжи-Арена
24.04.2016,19:30,ФК Ростов,Зенит,3:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
24.04.2016,17:00,ЦСКА,Динамо,1:0 (0:0),ХимкиАрена Химки
24.04.2016,14:30,ФК Краснодар,ФК Уфа,4:0 (2:0),КраснодарСтадион Кубань
24.04.2016,14:00,Амкар,Локомотив,0:1 (0:1),ПермьСтадион Звезда
23.04.2016,19:30,Рубин,Терек,0:1 (0:1),КазаньКазань-Арена
23.04.2016,17:00,Спартак,Мордовия,2:2 (0:1),МоскваОткрытие Арена
23.04.2016,15:30,Крылья Советов,Урал,1:1 (0:1),СамараСтадион Металлург
18.04.2016,19:00,Урал,Рубин,0:1 (0:0),ЕкатеринбургСКБ-Банк Арена
17.04.2016,19:30,Кубань,ФК Ростов,0:1 (0:0),КраснодарСтадион Кубань
17.04.2016,17:00,Динамо,Крылья Советов,0:1 (0:0),ХимкиАрена Химки
17.04.2016,16:30,ФК Уфа,Анжи,2:0 (1:0),УфаСтадион Нефтяник
16.04.2016,19:30,Зенит,Спартак,5:2 (1:2),Санкт-ПетербургСтадион Петровский
16.04.2016,17:00,Локомотив,ЦСКА,1:1 (1:0),МоскваСтадион Локомотив
16.04.2016,14:30,Терек,ФК Краснодар,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
15.04.2016,19:00,Мордовия,Амкар,1:1 (0:1),СаранскСтадион Старт
11.04.2016,19:00,Крылья Советов,Локомотив,0:0,СамараСтадион Металлург
10.04.2016,19:30,Спартак,Кубань,2:2 (1:2),МоскваОткрытие Арена
10.04.2016,17:00,ФК Краснодар,Урал,6:0 (2:0),КраснодарСтадион Кубань
10.04.2016,16:30,ФК Уфа,Терек,1:0 (1:0),УфаСтадион Нефтяник
09.04.2016,19:30,Рубин,Динамо,4:1 (3:1),КазаньКазань-Арена
09.04.2016,16:30,Амкар,Зенит,0:2 (0:1),ПермьСтадион Звезда
